TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,Ki67_P53.AUC,Ki67_Cyclin.AUC,P53_Cyclin.AUC,CK20_CK56.AUC,Her2Neu_GATA3.AUC,P63_GATA3.AUC,P63_Her2Neu.AUC,P53_Ki67.AUC,Cyclin.Ki67.AUC,Cyclin_P53.AUC,CK56_CK20.AUC,GATA3_Her2Neu.AUC,GATA3_P63.AUC,Her2Neu_P63.AUC
A-8,16323.91361,193.2884393,9.205806814,65.67185034,831.6535658,15824.37035,8422.379576,1076.771491,314.7696937,9162.113897,6933.269258,8611.914941,0,24709.36477,16088.62559,11589.12863,790.483334,-1436.166843,264.3848495,-8377.685129,17016.99252,8547.805082,3018.156037
F-3,22195.30148,2536.293432,0,11015.21307,1005.217618,30552.17809,622.035515,25383.93894,130.9464805,12290.98881,6706.272481,3583.605569,0,0,1944.924159,8813.722091,3943.425049,-1723.982404,-4794.079561,0,-8377.685129,-6435.059544,236.8137795
K-8,8949.535764,3611.223425,25.4924903,72.64239168,2434.996712,4632.031286,435.4598443,101.1842431,226.8818845,13217.86329,11295.70936,12942.82129,1291054.111,4039.120144,2699.991574,58562.07435,4900.109401,2918.034975,4463.154732,1445226.919,-4187.950196,-5677.693555,36780.08745
G-7,3192.527973,8619.981335,0,4492.578672,12315.17479,396.0951986,504.8157805,7546.193293,826.0967212,12823.16014,16682.59169,12746.45965,0,25313.90199,23682.10615,19110.84187,4341.122776,8288.148852,4448.300454,0,17007.93559,15279.55343,10732.82802
D-2,3709.245846,26750.17454,17.00648541,113.8608156,14056.88077,0,5.455100324,26716.49642,2242.068905,0,10466.7837,0,0,7941.052214,9580.454332,8932.022809,0,2075.101952,0,-8377.685129,-432.3290162,1197.595963,540.4831108
K-6,12378.86386,3868.470283,24.50504114,58.62253252,3265.639295,8482.413618,1052.481094,104.5093475,428.990809,9916.555949,10797.95129,12181.11474,660654.8583,1365.370485,11494.69319,51434.68965,1612.438774,2442.918109,3697.612637,684649.7427,-7039.917579,3069.367181,42962.76672
I-4,13501.85947,8.9534948,7835.533588,241.6898995,17445.92244,9.521245756,0,122.7251558,258.4296203,0,10990.94941,0,8663.419057,0,0,16281.79083,0,2593.450201,0,133.1366239,-8377.685129,-8377.685129,7904.105698
D-8,7023.446183,5359.417075,0,6716.007056,284.5553829,13523.10701,12113.17571,5610.448692,566.6907901,14863.49226,7351.549293,8415.223442,0,30809.22671,19347.92268,19159.24526,6518.229415,-928.8551338,-85.87274521,0,22404.44103,10996.31276,10676.21919
I-9,17.257918,0,0,4.675346909,178.3161004,0,0,5.299984348,0,0,1723.174062,0,0,0,0,0,0,-7314.789831,0,0,0,0,0
J-10,116.6913586,4.271763802,0,409.9357336,5550.084267,203.5021864,386.428467,490.6635327,0,13476.04404,8439.206403,10568.76207,0,0,0,0,5098.358908,-9.856301137,2171.979669,0,0,0,0
K-4,11687.23709,731.144884,9.331900634,6571.045886,4334.756622,14127.387,1310.035298,9487.505789,1982.847027,14445.72369,13642.08356,19319.89263,20003.77981,10079.12132,10916.20039,12213.12974,6011.9529,5263.281327,10965.99403,11550.91489,1640.874641,2514.609365,3795.60978
K-7,9086.005379,5031.970466,36.78627679,54.62706796,2768.796416,7752.600126,726.1400728,138.2303792,133.9060816,11533.94783,10836.45475,11526.98235,1701677.089,4672.269885,4694.577771,0,3074.096654,2448.367995,3134.640352,1696118.653,-3820.120275,-3568.84567,-8377.685129
D-3,10486.31159,28753.5767,727.70111,1297.335083,14207.43332,101.0914311,98.6471989,23447.63401,3923.881918,11847.72569,10575.1689,11953.39674,30356.70258,9543.523614,8934.506287,9129.327121,3296.453194,2215.172323,3639.035253,20977.895,1200.37382,541.5404823,706.4262729
I-1,0,0,0,8.639977744,115.4726522,4.087471478,0,4.474678812,8.618833315,0,0,0,0,0,0,0,0,0,0,0,0,0,-8377.685129
L-4,2758.68432,7355.080907,526.9241754,1894.20649,8568.704531,60.17407313,53.16889743,6246.769828,2386.283027,25931.27531,18405.23462,23937.50123,26726.68027,31532.10317,31104.14318,34281.5187,14584.9118,9874.789825,15662.10521,17932.18989,22826.0801,22518.65044,25903.12007
