TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,P53_P16.AUC,Ki67_Cyclin.AUC,GATA3_CK56.AUC,Her2Neu_CK56.AUC,CK20_CK56.AUC,P63_CK56.AUC,Her2Neu_GATA3.AUC,CK20_GATA3.AUC,P63_GATA3.AUC,Her2Neu_CK20.AUC,P63_CK20.AUC,Her2Neu_P63.AUC,P16_P53.AUC,Cyclin_Ki67.AUC,CK56_GATA3.AUC,CK56_Her2Neu.AUC,CK56_CK20.AUC,CK56_P63.AUC,GATA3_Her2Neu.AUC,GATA3_CK20.AUC,GATA3_P63.AUC,CK20_Her2Neu.AUC,CK20_P63.AUC,P63_Her2Neu.AUC
D-3,2549.946447,5019.205717,1170.966931,1131.42407,189.5878727,7187.96549,6.894295965,4420.971987,2148.904012,8491.58336,3901.515938,11223.63052,15221.18121,21138.70079,14130.51119,11666.80065,11555.93029,10681.98218,17072.76667,14017.06138,12336.52184,107.8555075,-4464.520628,2874.315251,6832.153684,13015.96629,5818.312836,3244.244225,3177.188644,2294.659781,8653.252193,5640.394493,3929.282477
J-13,600.4149744,603.6837624,2506.713618,412.690707,921.2032757,33.49301657,1.872787711,8.476569702,1677.999271,0,41423.17391,14368.95894,12976.46638,12316.1021,12963.36162,14232.49433,10512.49278,22149.47697,15507.81521,838.8374518,14075.80263,-8377.685129,33108.96131,6274.304213,5020.714316,4467.464892,5310.728766,5817.818451,2090.44977,9641.601672,6940.476276,-7447.283385,7177.77437
H-12,56.63905366,41.39228411,0,9.925262771,6.635058134,2.383233476,8.724396079,6.7732924,35.82085581,334579.9397,159590.4175,105117.3166,429102.3087,0,807709.6725,53448.53718,0,0,0,0,452287.2277,326202.2546,154637.7063,95229.35168,284432.5026,0,844581.6196,33381.6298,0,-8377.685129,0,0,374730.8582
F-7,4622.150245,3412.418481,0,3358.782595,50.13651111,8265.435067,5830.909349,3334.620832,4.867904542,11567.62252,4798.281793,15030.2046,16185.54332,0,16900.91671,15865.52281,0,17907.20039,0,0,14474.79586,3188.679308,-3730.093809,6678.248225,7807.858195,0,8545.293519,7487.837686,0,9523.567504,0,0,6097.110731
D-8,3601.265729,238.5369041,2.905755032,3139.487803,5089.068301,3932.949314,4245.516102,4190.779274,0.959672452,12077.60501,11343.93444,10367.68776,17372.24787,10605.88321,11554.43764,84767.56548,94869.39971,8641.129372,0,6494.2025,7049.468885,3721.43039,2946.112052,1981.618888,9336.932798,2228.198081,3218.135137,76389.88035,86491.71458,293.3449718,-8377.685129,-1883.482629,-1100.429992
D-10,402.5658887,2683.06445,67.59026704,288.477181,1146.970722,86.68824791,12.74591653,468.5772389,481.8482126,15840.49706,15002.67004,12102.5071,69729.40464,86562.55992,66244.71261,13674.14103,12367.93885,15641.82748,93187.861,89981.929,74294.70776,7462.811935,6547.042212,3725.01929,60560.20204,77756.26719,57230.73253,5151.197116,3669.488066,7180.760279,87546.30985,81297.93518,65323.4722
C-2,1343.902016,2800.753473,10.03185845,103.8716423,10.80326286,4788.706373,3244.416491,26.67747994,415.317165,11174.30861,4080.787615,6187.389089,35382.60149,352508.5064,313603.3608,15629.10003,10427.95394,5273.224155,57269.5097,528066.6175,79669.17925,2785.399924,-4296.897514,-1555.307941,29764.15656,346257.8331,295684.0726,7129.089627,3280.60174,-3357.852363,65822.38656,733163.0843,78379.24853
C-10,996.140543,2727.450175,87.17937271,1296.788021,3349.17342,552.1721862,1364.297519,1393.327086,1246.30274,11429.16359,14479.66493,16606.71422,25727.41603,34479.62327,27944.54639,20807.02959,13470.17345,19426.14372,21677.3268,24729.73238,27226.8665,3249.674414,6032.16762,8271.012257,17341.50517,25847.53223,19608.13577,12399.85207,5034.993115,11047.30232,12466.44324,16384.8667,18832.81254
C-4,1053.375384,3160.805797,0,2.717012301,67.89788857,4902.179994,3389.122378,0,920.99335,10288.52093,8823.998577,1209.831413,1258.667673,0,0,15229.30287,0,0,0,0,0,1911.145544,519.9171042,-7167.853716,-7119.017456,0,0,6800.024413,0,0,0,0,0
L-1,35.16493821,8.085731756,0,286.3284328,1481.239429,96.980116,22.46850965,20.66482111,0.945892759,0,17238.52387,0,0,0,67606.49178,0,0,0,0,0,65840.28014,-8377.685129,8864.467037,-8377.685129,-8377.685129,0,59228.80665,-8377.685129,0,-8377.685129,0,0,76703.19206
