Image,Name,Centroid X µm,Centroid Y µm
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-7,11960.9,2621.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-8,13359.2,2821.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-9,14832.5,2821.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,B-10,15956.1,3096.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-1,3590.5,4331.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-2,5074.1,4342.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-3,6414.6,4214.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-4,7886.7,4191.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-5,9164.2,4170.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-6,10534,4210.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-7,11960.9,4070.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-8,13534,4170.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-9,14907.4,4170.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,C-10,16088.3,4466.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-1,3790.7,5744
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-2,5049.2,5670
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-3,6290.9,5601.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-4,7781.3,5700.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-5,9239.1,5643.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-6,10587.5,5768.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-7,12010.8,5543.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-8,13459.1,5793.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-9,15057.2,5643.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,D-10,16205.8,5818.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-1,3708.7,7319.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-2,5044,7216.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-3,6507.4,7449.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-4,7990.6,7166.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-5,9388.9,7291.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-6,10687.4,7116.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-7,12135.7,7216.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-8,13534,7191.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-9,14832.5,7341.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,E-10,16255.8,7266.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-1,3695.6,8664.8
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-2,5019.1,8739.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-3,6442.4,8803.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-4,8015.5,8789.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-5,9363.9,8714.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-6,10662.4,8814.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-7,12110.7,8714.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-8,13484.1,8764.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-9,14957.3,8739.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,F-10,16205.8,8789.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-1,3745.6,10163
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-2,5069,10138
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-3,6567.2,10237.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-4,8090.4,10212.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-5,9463.8,10237.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-6,10762.3,10188
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-7,12110.7,10287.8
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-8,13583.9,10163
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-9,14957.3,10163
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,G-10,16255.8,10063.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-1,3770.5,11536.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-2,5168.9,11686.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-3,6642.2,11586.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-4,8065.5,11786.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-5,9413.9,11561.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-6,10762.3,11786.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-7,12108.4,11672.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-8,13468.1,11665.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-9,14932.4,11561.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,H-10,16280.8,11611.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-1,3945.3,13084.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-2,5318.7,13109.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-3,6792,13234.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-4,8215.3,13134.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-5,9388.9,13159.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-6,10712.3,13084.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-7,12153.5,13167.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-8,13486.3,13086.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-9,14857.4,13159.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,I-10,16389.7,13021.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-1,3795.5,14532.8
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-2,5218.8,14607.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-3,6692.1,14607.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-4,8115.4,14657.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-5,9409.2,14564.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-6,10712.3,14682.6
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-7,12135.7,14507.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-8,13583.9,14457.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-9,14832.5,14657.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,J-10,16467.6,14596.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-1,3795.5,16056
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-2,5143.9,16130.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-3,6642.2,16130.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-4,8015.5,16106
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-5,9488.8,16130.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-6,10812.2,16230.8
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-7,12274.5,16069.7
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-8,13658.9,16155.9
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-9,15032.2,15956.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,K-10,16380.6,15931.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-1,3743.3,17717.5
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-2,5268.8,17704.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-3,6717.1,17804
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-4,8215.3,17479.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-5,9538.7,17454.4
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-6,10762.3,17704.1
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-7,12135.7,17754
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-8,13583.9,17579.2
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-9,14882.4,17504.3
TMA_963_32_CyclinD1_-_2016-10-25_10.57.55.ndpi,L-10,16271.6,17465.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-1,4844.3,1997.6
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-2,6007.5,1919.4
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-3,7327,2101.7
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-4,8789.6,1797.9
TMA_963_55_P63_-_2016-10-25_11.41.35.ndpi,A-5,10281.3,1702.2
