Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num overstaining	Area µm^2	Perimeter µm
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-12 - PathAnnotationObject		D-12	D-12	Polygon	18922	6564.3	5854	0	1354948.1	5179.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-10 - PathAnnotationObject		K-10	K-10	Geometry	15470.1	17289.2	3022	0	853093.4	11095.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-8 - PathAnnotationObject		L-8	L-8	Polygon	12730.9	18990.6	5401	0	1031149.1	4234.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-12 - PathAnnotationObject		I-12	I-12	Polygon	18511.3	14130.6	5154	0	820075.5	5791.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-9 - PathAnnotationObject		B-9	B-9	Polygon	14411	3055.8	7284	0	1292245.1	6459.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-12 - PathAnnotationObject		G-12	G-12	Geometry	18675.8	11191.9	5699	0	1020675.3	5460.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-11 - PathAnnotationObject		A-11	A-11	Polygon	17446.8	1918.2	4396	0	975209.2	6553
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-7 - PathAnnotationObject		J-7	J-7	Polygon	11211.6	15758.3	11619	0	1238619.5	6464.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-10 - PathAnnotationObject		E-10	E-10	Geometry	15825.4	8071.1	4203	0	1095667.1	7311
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-5 - PathAnnotationObject		E-5	E-5	Geometry	8411.5	7862.4	5055	0	742600.8	18425.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-5 - PathAnnotationObject		A-5	A-5	Polygon	8354	1547.7	3279	0	697233.9	6635.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-8 - PathAnnotationObject		A-8	A-8	Geometry	12954.2	1561.1	3654	0	704576.1	20893.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-10 - PathAnnotationObject		C-10	C-10	Polygon	15911.2	4997.6	2693	0	729752.4	6344.6
