"","TMA.core","H&E","P16","P53","CV","Mean","QCoD"
"74","H-12",0.199416817768,0.171021865376,0.1638245832184,0.10567144765444,0.178087755454133,0.050465028891041
"56","F-7",0.2131420409848,0.213943358158,0.2110993077552,0.00689370742407827,0.212728235632667,0.00334072717657819
"34","D-8",0.2065840276012,0.2077851067564,0.2005741178848,0.018848098826246,0.2049810840808,0.00877754037939287
"24","D-10",0.220394788958,0.213335315958,0.2077017328344,0.0297453069941249,0.213810612583467,0.0148497237739322
"15","C-2",0.2128952376864,0.2155493521952,0.213640058464,0.00639621591404353,0.2140282161152,0.0031015985487849
"11","C-10",0.22577173705,0.222638052444,0.21920127426,0.0147678633650266,0.222537021251333,0.00738047662216232
"17","C-4",0.210180504462,0.212180860242,0.2086381178224,0.00844516295758714,0.210333160842133,0.00421163422145088
"113","L-1",0.199143198778,0.2082764666888,0.2088598986384,0.0265269093945052,0.2054265213684,0.0117841595931854
"93","I-8",0.217203701046,0.2203901101248,0.219574447278,0.00755624516866871,0.2190560861496,0.00363437192917227
"53","F-4",0.2371100133172,0.234340391402,0.2261492591156,0.0245103369770818,0.232533221278267,0.01176122234473
"97","J-11",0.2349634594584,0.2336904870424,0.2378360775388,0.0090175791230787,0.235496674679867,0.00440339386816748
"25","D-11",0.223464989836,0.2103035144908,0.2051587148496,0.0443297475360713,0.212975739725467,0.0215563029700406
"80","H-7",0.2167373842076,0.221750723064,0.2172235706284,0.0126495087733947,0.2185705593,0.00574308216428602
"40","E-13",0.2175741739444,0.2162673572812,0.2145153094464,0.00710175214265014,0.216118946890667,0.00353779654240667
"59","G-1",0.1807682459404,0.199204312172,0.2084295902652,0.0718077276382957,0.1961340494592,0.0351207686964599
"30","D-4",0.2088126980744,0.23256016751,0.2230461415124,0.0539643111659687,0.2214730023656,0.0267587628345925
"3","A-12",0.2334147450576,0.2292573441144,0.225321270532,0.0176480261753725,0.229331119901333,0.00882362312932318
"42","E-3",0.2276891105284,0.2248046613896,0.2204590147036,0.0162250920576527,0.224317595540533,0.00805350692530239
"63","G-13",0.2315074506516,0.20734960426,0.2068850806308,0.0654296045923375,0.215247378514133,0.0288625113478455
"27","D-13",0.224491859748,0.227740866256,0.2243610585344,0.00848969276327492,0.2255312615128,0.00375081740901171
"115","L-13",0.2321568191096,0.221953025918,0.2207351483088,0.0278835696739981,0.224948331112133,0.0127360571227577
"21","C-8",0.2301749107116,0.2272343155744,0.223297932818,0.0152069087165006,0.226902386368,0.00757425239995327
"95","J-1",0.2316412817704,0.225633536272,0.2230387831712,0.0194585872913753,0.226771200404533,0.00949558560676701
"107","K-3",0.2451172076852,0.2431592293548,0.242261326224,0.0059970757322091,0.243512587754667,0.00293302894314067
"54","F-5",0.2362746663924,0.2386690953528,0.2330406445176,0.0119690896250761,0.2359948020876,0.00596070612207427
"65","G-3",0.2333716255904,0.23038873545,0.2273311282596,0.0131111107341849,0.230363829766667,0.0065552110273867
"47","E-8",0.2287679835072,0.2300355762956,0.2284736910824,0.00362276628493667,0.229092416961733,0.00170503066285365
"45","E-6",0.2336919710776,0.23977371222,0.2342295834404,0.0142724453761512,0.235898422246,0.00645671588476313
"41","E-2",0.2366090277676,0.2352685111384,0.2352037288796,0.0033658516204608,0.235693755928533,0.0014912709902735
